Question Number,Question,BM25 Relevant,BM25 Precision@3,Dense Relevant,Dense Precision@3
1,What is machine learning?,1,0.33,2,0.67
2,What is artificial intelligence?,1,0.33,2,0.67
3,What is deep learning?,2,0.67,3,1.0
4,What is natural language processing?,1,0.33,2,0.67
5,What is a neural network?,2,0.67,3,1.0
6,What is supervised learning?,1,0.33,2,0.67
7,What is unsupervised learning?,1,0.33,1,0.33
8,What is reinforcement learning?,2,0.67,1,0.33
9,What is model evaluation?,2,0.67,1,0.33
10,What is retrieval augmented generation?,1,0.33,1,0.33
